id,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63,X64,Y64,Z64,X65,Y65,Z65,X66,Y66,Z66,X67,Y67,Z67,X68,Y68,Z68,X69,Y69,Z69,X70,Y70,Z70,X71,Y71,Z71,X72,Y72,Z72,X73,Y73,Z73,X74,Y74,Z74,X75,Y75,Z75,X76,Y76,Z76
2,-1.162153,0.660671,0.295775,-1.138302,0.104963,0.237468,-1.068901,-0.297367,0.141144,-0.95515,-0.772493,-0.017985,-0.844474,-0.949297,-0.029826,-0.343469,-1.393077,0.428145,0.012296,-1.438763,0.508208,0.366721,-1.397814,0.397474,0.896179,-0.970669,-0.018922,1.01921,-0.799483,-0.017214,1.14084,-0.301898,0.1443,1.198771,0.10165,0.243319,1.164891,0.682132,0.295843,0.7275,1.546844,0.754386,0.012123,1.603843,1.012818,-0.702917,1.546842,0.754418,-0.464947,0.875209,1.030608,-0.821816,0.845514,0.878984,-0.982709,0.814809,0.713158,-0.812646,0.716054,0.84332,-0.39002,0.727821,0.958614,-0.198746,0.714418,1.028552,0.215339,0.716875,1.028062,0.486743,0.883298,1.030608,0.842123,0.8403,0.878989,1.005077,0.814749,0.713457,0.813945,0.729934,0.843161,0.52244,0.781049,0.939264,0.561097,0.660384,0.923756,-0.571443,0.641646,0.923918,-0.298647,0.434752,0.831655,-0.485883,0.587661,0.927211,-0.585532,0.596102,0.930806,-0.699783,0.577155,0.890883,-0.779933,0.485062,0.75928,-0.732285,0.424734,0.836867,-0.582101,0.383843,0.872088,-0.469973,0.397879,0.870449,-0.53026,0.491088,0.857016,0.566196,0.505379,0.862144,0.314325,0.449473,0.834057,0.470915,0.590443,0.926804,0.570996,0.609332,0.930533,0.679785,0.601446,0.891464,0.805102,0.511728,0.756752,0.653295,0.429671,0.866335,0.571769,0.414557,0.874413,0.462794,0.423974,0.872006,0.188281,0.044895,1.078508,0.012192,0.06591,1.187734,-0.160741,0.043621,1.077929,-0.131923,-0.232368,1.093532,0.014516,-0.17768,1.283542,0.166354,-0.247621,1.093701,0.352346,-0.16162,1.019452,0.320607,-0.27982,0.97721,0.020917,-0.345882,1.025792,-0.3113,-0.294051,0.996593,-0.342819,-0.183571,1.048017,-0.412631,-0.708499,0.836774,-0.236074,-0.620818,1.037255,-0.05532,-0.554337,1.117469,0.026903,-0.576983,1.121175,0.106933,-0.54686,1.115845,0.286915,-0.611844,1.031663,0.460802,-0.682593,0.837712,0.297278,-0.685351,0.940821,0.028259,-0.669467,1.0349,-0.246327,-0.704179,0.94058,-0.243919,-0.718153,0.936895,0.02886,-0.727832,1.024428,0.29511,-0.706869,0.936963,0.400783,-0.737749,0.877374,0.214318,-0.826322,0.990578,0.029711,-0.846398,1.044921,-0.161775,-0.827574,0.989535,-0.35542,-0.768619,0.876952
3,-1.225515,0.86051,0.823543,-1.253824,0.219359,0.753481,-1.169799,-0.211953,0.618449,-0.973756,-0.764527,0.475988,-0.82742,-0.960223,0.469788,-0.35727,-1.34651,1.179374,-0.01636,-1.426837,1.358869,0.369066,-1.335845,1.155188,0.836873,-0.954777,0.476564,0.979762,-0.760122,0.476004,1.171732,-0.217225,0.618562,1.228391,0.230757,0.753481,1.185974,0.85621,0.823713,0.691688,1.806018,1.243345,-0.019783,1.898231,1.369851,-0.731057,1.80602,1.243379,-0.524935,1.195689,1.537643,-0.89768,1.143367,1.384677,-1.058466,1.039596,1.249912,-0.879114,1.030381,1.375631,-0.423909,1.027806,1.501969,-0.24456,0.963131,1.535164,0.192522,0.966774,1.53538,0.484984,1.18469,1.537626,0.855996,1.124877,1.384682,1.016218,1.018057,1.249883,0.819433,1.004994,1.37573,0.513451,1.050917,1.478655,0.533659,0.982274,1.492886,-0.612778,0.945947,1.492989,-0.362521,0.704529,1.408559,-0.534304,0.868069,1.500454,-0.62784,0.894313,1.503164,-0.753083,0.88419,1.460667,-0.901129,0.762488,1.325655,-0.806955,0.712807,1.41156,-0.637066,0.689638,1.450641,-0.535117,0.70645,1.447945,-0.597819,0.774345,1.403569,0.574955,0.786151,1.400021,0.276582,0.733845,1.408822,0.425986,0.919457,1.501046,0.542416,0.944956,1.503537,0.675708,0.934797,1.461623,0.837667,0.783454,1.32374,0.644374,0.707194,1.44456,0.551657,0.702682,1.45296,0.414918,0.715349,1.449084,0.182982,0.157711,1.770986,-0.020827,0.227134,1.937335,-0.237762,0.174432,1.777324,-0.241704,-0.078749,1.776037,-0.017345,-0.048664,1.998245,0.18077,-0.080155,1.784318,0.360894,-0.083181,1.658981,0.333653,-0.154184,1.607287,-0.027909,-0.221992,1.738586,-0.384777,-0.150988,1.616066,-0.416196,-0.101941,1.661121,-0.458729,-0.567777,1.477786,-0.301742,-0.525865,1.689153,-0.103315,-0.483099,1.799485,-0.004064,-0.503578,1.798067,0.094144,-0.483165,1.800341,0.274455,-0.516198,1.688776,0.458831,-0.556572,1.477458,0.276985,-0.574987,1.587145,-0.003211,-0.6208,1.689731,-0.307685,-0.591934,1.587608,-0.307522,-0.593122,1.585144,-0.003083,-0.622844,1.687451,0.27755,-0.579689,1.584681,0.389385,-0.617735,1.523585,0.207544,-0.734735,1.67347,-0.000687,-0.758003,1.748539,-0.220695,-0.735745,1.673695,-0.401515,-0.635297,1.523874
4,-1.270521,2.717826,0.855694,-1.24594,2.072457,0.889373,-1.138973,1.626885,0.773342,-0.902176,1.075899,0.59498,-0.73194,0.844545,0.515518,-0.334926,0.48253,0.96754,0.001579,0.413238,1.146981,0.34969,0.476564,0.968039,0.794163,0.851651,0.509689,0.958376,1.080228,0.582436,1.146196,1.629806,0.782307,1.278818,2.073888,0.888791,1.290021,2.714096,0.850141,0.7656,3.705422,1.452556,0.00014,3.857476,1.587699,-0.764346,3.708051,1.433196,-0.486761,3.040488,1.69365,-0.898538,2.992563,1.430551,-1.073417,2.888593,1.288822,-0.873994,2.831304,1.382993,-0.418862,2.837313,1.553951,-0.223723,2.813869,1.673423,0.219363,2.813869,1.671322,0.484967,3.041549,1.692244,0.896109,2.992564,1.430936,1.070446,2.888593,1.291723,0.865785,2.831302,1.383093,0.551033,2.885912,1.532215,0.601238,2.724087,1.502779,-0.601911,2.721415,1.504321,-0.32713,2.462824,1.409095,-0.504578,2.644526,1.517932,-0.611174,2.675586,1.518239,-0.763284,2.682252,1.469346,-0.897755,2.556213,1.327723,-0.808962,2.483739,1.410272,-0.641759,2.436101,1.442913,-0.484633,2.449066,1.437916,-0.618,2.555,1.433,-0.646,2.547,1.43,0.349752,2.476705,1.416698,0.501126,2.622754,1.517312,0.613511,2.669239,1.518723,0.7379,2.675383,1.470316,0.929722,2.556712,1.324042,0.720128,2.441164,1.436869,0.612904,2.436041,1.445002,0.475564,2.44759,1.452401,0.207981,2.035175,1.84177,0.000172,2.118732,2.036094,-0.203276,2.035039,1.841769,-0.200423,1.726998,1.903181,0.002597,1.905076,2.128602,0.213421,1.727143,1.906577,0.377993,1.76187,1.727894,0.340594,1.672309,1.701913,0.006688,1.625079,1.845051,-0.335151,1.653738,1.694032,-0.381156,1.752641,1.726807,-0.459645,1.220993,1.6264,-0.272006,1.271893,1.770085,-0.088391,1.36152,1.924832,0.016102,1.328405,1.947845,0.119275,1.364129,1.92332,0.299577,1.277326,1.789557,0.480575,1.23993,1.627778,0.31097,1.228133,1.704764,0.016234,1.205068,1.841006,-0.278827,1.219789,1.693303,-0.276561,1.202163,1.688081,0.016336,1.162224,1.845075,0.309016,1.210226,1.688321,0.420435,1.1787,1.66431,0.227737,1.043,1.7811,0.018211,1.00384,1.867193,-0.193125,1.03573,1.777505,-0.394011,1.153234,1.659768
5,-1.129545,0.395405,0.796316,-1.140308,-0.156012,0.788831,-1.037681,-0.539582,0.701395,-0.884855,-1.005834,0.570861,-0.775285,-1.182174,0.557598,-0.306057,-1.571351,1.107688,6.70E-05,-1.627221,1.265766,0.305074,-1.571351,1.10769,0.769157,-1.182187,0.557601,0.871546,-1.005866,0.570881,1.035058,-0.539463,0.701311,1.140308,-0.156012,0.788831,1.129318,0.393792,0.796466,0.67184,1.243046,1.167075,-9.50E-05,1.325986,1.258804,-0.671854,1.243046,1.167105,-0.446233,0.688734,1.443585,-0.781621,0.643462,1.291896,-0.935201,0.553038,1.172875,-0.760188,0.503214,1.283907,-0.364285,0.508441,1.395485,-0.194572,0.488051,1.454735,0.19078,0.488051,1.454735,0.445703,0.688734,1.443585,0.779503,0.643462,1.291901,0.932561,0.553039,1.172849,0.753036,0.503212,1.283995,0.479233,0.550707,1.374895,0.529201,0.386898,1.387464,-0.538558,0.387052,1.387554,-0.315927,0.187578,1.312988,-0.467614,0.322773,1.394147,-0.549224,0.341231,1.396541,-0.653103,0.340842,1.359009,-0.752211,0.255906,1.239769,-0.69022,0.201937,1.315639,-0.550116,0.176076,1.350153,-0.461421,0.191732,1.347773,-0.537324,0.26249,1.31796,0.561763,0.255848,1.315062,0.329722,0.197742,1.313221,0.457888,0.305861,1.39467,0.542826,0.330269,1.39687,0.644038,0.335288,1.359852,0.779624,0.243088,1.238078,0.618903,0.175303,1.344783,0.540862,0.178675,1.352201,0.452526,0.200304,1.348779,0.17511,-0.203505,1.664103,0.000149,-0.158553,1.806453,-0.17206,-0.20363,1.663915,-0.14317,-0.446469,1.711416,0.002341,-0.343098,1.893781,0.15286,-0.446714,1.711538,0.331124,-0.39879,1.553597,0.291182,-0.474563,1.536935,0.008165,-0.543326,1.655856,-0.288633,-0.490481,1.530225,-0.321825,-0.404875,1.552811,-0.384839,-0.891894,1.374128,-0.235505,-0.829377,1.561077,-0.073792,-0.796202,1.643853,0.013787,-0.809351,1.646363,0.100522,-0.794575,1.643929,0.259432,-0.821575,1.560768,0.405442,-0.878464,1.373838,0.258114,-0.893934,1.470711,0.014715,-0.913117,1.561154,-0.233244,-0.90276,1.47112,-0.233089,-0.903857,1.468944,0.01473,-0.914837,1.559141,0.257953,-0.895024,1.468535,0.350397,-0.93409,1.414576,0.201854,-1.03053,1.54469,0.01595,-1.06444,1.584438,-0.17213,-1.03572,1.544904,-0.328382,-0.945727,1.414831
8,-1.093341,0.395412,0.798969,-1.135803,-0.156012,0.788831,-1.064969,-0.543328,0.700278,-0.936025,-1.001523,0.568929,-0.817145,-1.170941,0.556916,-0.307873,-1.561623,1.131339,6.70E-05,-1.606271,1.305511,0.306481,-1.548454,1.116956,0.826787,-1.173512,0.561197,0.937187,-1.002313,0.570182,1.065019,-0.544055,0.699739,1.135803,-0.156012,0.788831,1.093225,0.393792,0.799044,0.620998,1.168189,1.168605,-0.0026,1.245715,1.348961,-0.62526,1.17003,1.171508,-0.446233,0.696014,1.461244,-0.776675,0.643462,1.302572,-0.924352,0.553038,1.181617,-0.757937,0.502355,1.288979,-0.364285,0.508896,1.404939,-0.194557,0.488309,1.462922,0.190759,0.488305,1.46291,0.445397,0.696002,1.461168,0.773391,0.640315,1.298026,0.921793,0.553039,1.181612,0.750863,0.502415,1.289049,0.479233,0.551142,1.385211,0.528282,0.384645,1.390417,-0.537915,0.384806,1.39042,-0.320736,0.160999,1.313121,-0.448693,0.330153,1.395848,-0.544868,0.349446,1.398116,-0.653604,0.341243,1.359925,-0.754825,0.229192,1.239864,-0.691129,0.183133,1.315639,-0.547562,0.164766,1.350153,-0.443745,0.166965,1.347773,-0.537324,0.242478,1.31796,0.561763,0.235836,1.315062,0.327962,0.179662,1.313407,0.437927,0.314859,1.396044,0.534862,0.350462,1.398244,0.643463,0.350798,1.360701,0.781448,0.217644,1.238078,0.623866,0.155789,1.344783,0.53508,0.156212,1.352201,0.434088,0.168621,1.348865,0.168155,-0.20397,1.652431,0.000148,-0.158553,1.772896,-0.164985,-0.204025,1.652085,-0.167343,-0.466049,1.696764,0.002577,-0.356473,1.859642,0.176793,-0.466389,1.697626,0.329408,-0.425396,1.518991,0.303234,-0.500968,1.502836,0.001873,-0.558132,1.628815,-0.303429,-0.517244,1.497516,-0.326672,-0.431638,1.51777,-0.391341,-0.898396,1.324233,-0.235505,-0.829377,1.562564,-0.073792,-0.796202,1.663053,0.003502,-0.809351,1.665703,0.094866,-0.794575,1.663308,0.259432,-0.821575,1.558848,0.412134,-0.885155,1.323931,0.258634,-0.894453,1.441097,0.00443,-0.913117,1.572302,-0.233339,-0.902855,1.446519,-0.233197,-0.903966,1.443934,0.004445,-0.914837,1.570016,0.258507,-0.895578,1.438477,0.355024,-0.938717,1.368479,0.201854,-1.03053,1.543504,0.001527,-1.052366,1.585375,-0.17213,-1.03572,1.545004,-0.331996,-0.949341,1.370978
9,-1.147822,0.350209,0.822665,-1.101883,-0.200744,0.77203,-0.983021,-0.596965,0.64016,-0.799892,-1.093093,0.466453,-0.661465,-1.29551,0.401501,-0.291772,-1.64131,0.843314,0.000297,-1.722235,0.959052,0.292476,-1.641138,0.835808,0.654174,-1.274475,0.426644,0.791715,-1.088987,0.485188,1.004053,-0.580225,0.665343,1.09895,-0.20141,0.771361,1.130749,0.345442,0.820591,0.735024,1.127756,1.348536,0.000677,1.22474,1.492198,-0.72801,1.132968,1.338404,-0.519353,0.595092,1.486326,-0.864311,0.556688,1.324652,-0.9988,0.476246,1.151936,-0.842623,0.458297,1.247487,-0.381626,0.44316,1.389745,-0.201737,0.403105,1.45086,0.190897,0.400742,1.451543,0.471969,0.586591,1.486071,0.845272,0.543973,1.310237,0.976479,0.468446,1.147349,0.82537,0.470596,1.239352,0.485937,0.473235,1.364102,0.510779,0.39275,1.323121,-0.592493,0.371299,1.356868,-0.345693,0.144692,1.264492,-0.500481,0.298737,1.341145,-0.601882,0.336599,1.337378,-0.736937,0.345609,1.279891,-0.886177,0.238207,1.144138,-0.817827,0.160092,1.22786,-0.624682,0.096965,1.294041,-0.497321,0.11425,1.301671,-0.622123,0.218183,1.269492,0.592483,0.249199,1.250723,0.316792,0.187361,1.256903,0.431122,0.313018,1.311448,0.520784,0.361126,1.316063,0.660781,0.388169,1.28286,0.852685,0.302284,1.140913,0.645679,0.136744,1.279394,0.527678,0.139493,1.30303,0.43506,0.163761,1.288539,0.186893,-0.302602,1.623615,0.000434,-0.259122,1.766283,-0.185275,-0.307061,1.623672,-0.195815,-0.601714,1.662986,-0.001833,-0.496833,1.85096,0.163398,-0.604454,1.665137,0.313859,-0.533833,1.515988,0.291905,-0.597639,1.496812,0.001985,-0.683417,1.552949,-0.308114,-0.612342,1.487996,-0.329018,-0.535238,1.509591,-0.403372,-0.978702,1.314473,-0.242894,-0.928369,1.505093,-0.08817,-0.894171,1.588357,2.90E-05,-0.910917,1.59152,0.077741,-0.884362,1.586691,0.259687,-0.92475,1.505241,0.430713,-0.973329,1.315077,0.264641,-0.998327,1.410707,-0.003485,-1.013743,1.500834,-0.243815,-1.002416,1.410528,-0.243716,-1.003259,1.408284,-0.004301,-1.015303,1.498755,0.264646,-0.999166,1.408463,0.371301,-1.030244,1.352027,0.201724,-1.13605,1.474072,-0.001953,-1.157414,1.515058,-0.172333,-1.142,1.474643,-0.347448,-1.033702,1.351507
10,-1.043892,0.375681,0.80927,-1.087784,-0.152442,0.767089,-1.037253,-0.542143,0.659157,-0.845527,-1.020727,0.533506,-0.727496,-1.16804,0.522801,-0.300111,-1.507873,0.811716,0.007799,-1.578188,0.910388,0.308714,-1.51785,0.813278,0.732532,-1.187555,0.522303,0.84218,-1.028247,0.53413,1.044273,-0.542747,0.665923,1.106475,-0.159138,0.771827,1.050544,0.390484,0.810963,0.655883,1.23998,1.266373,-5.70E-05,1.334227,1.481516,-0.652139,1.242467,1.255048,-0.446233,0.646219,1.471647,-0.781621,0.605724,1.312641,-0.935201,0.519076,1.190844,-0.760115,0.466297,1.30026,-0.364285,0.467522,1.416634,-0.194572,0.445285,1.483816,0.19078,0.445285,1.483845,0.445703,0.646219,1.471569,0.779503,0.605724,1.312646,0.932561,0.519077,1.190818,0.753036,0.465791,1.300347,0.479233,0.510413,1.392833,0.52177,0.345981,1.40012,-0.521204,0.373387,1.400215,-0.268677,0.14768,1.319432,-0.443278,0.320745,1.40479,-0.528351,0.332388,1.40776,-0.649992,0.334291,1.370234,-0.757392,0.257847,1.246,-0.69994,0.205685,1.322532,-0.542652,0.152469,1.356219,-0.422833,0.143348,1.354331,-0.516022,0.236584,1.350258,0.561763,0.200987,1.340629,0.32062,0.122252,1.319983,0.444188,0.270208,1.404782,0.532644,0.293079,1.407746,0.639342,0.289971,1.370904,0.819,0.186529,1.242746,0.642626,0.105811,1.350827,0.54741,0.108593,1.358348,0.430211,0.110227,1.355605,0.165871,-0.320279,1.633786,0.000149,-0.26403,1.785459,-0.162894,-0.32,1.633756,-0.173419,-0.5619,1.661506,0.002056,-0.476508,1.857853,0.183861,-0.563291,1.6615,0.321499,-0.526939,1.51143,0.282237,-0.599493,1.492835,0.010925,-0.657889,1.594744,-0.27979,-0.614659,1.485939,-0.312291,-0.53256,1.510476,-0.399003,-0.916901,1.346456,-0.237721,-0.89267,1.53764,-0.074588,-0.854359,1.633445,0.013943,-0.870669,1.632225,0.101423,-0.848943,1.633833,0.26164,-0.884709,1.540115,0.417839,-0.900035,1.346836,0.266752,-0.95062,1.442995,0.018842,-0.971891,1.512438,-0.239275,-0.958954,1.437456,-0.23901,-0.95984,1.435298,0.018848,-0.973595,1.510013,0.266604,-0.951537,1.440661,0.358046,-0.972517,1.383267,0.202481,-1.080649,1.471012,0.016551,-1.107194,1.509107,-0.172108,-1.086757,1.470319,-0.332807,-0.98572,1.382201
2,-1.162153,0.660671,0.295775,-1.138302,0.104963,0.237468,-1.068901,-0.297367,0.141144,-0.95515,-0.772493,-0.017985,-0.844474,-0.949297,-0.029826,-0.343469,-1.393077,0.428145,0.012296,-1.438763,0.508208,0.366721,-1.397814,0.397474,0.896179,-0.970669,-0.018922,1.01921,-0.799483,-0.017214,1.14084,-0.301898,0.1443,1.198771,0.10165,0.243319,1.164891,0.682132,0.295843,0.7275,1.546844,0.754386,0.012123,1.603843,1.012818,-0.702917,1.546842,0.754418,-0.464947,0.875209,1.030608,-0.821816,0.845514,0.878984,-0.982709,0.814809,0.713158,-0.812646,0.716054,0.84332,-0.39002,0.727821,0.958614,-0.198746,0.714418,1.028552,0.215339,0.716875,1.028062,0.486743,0.883298,1.030608,0.842123,0.8403,0.878989,1.005077,0.814749,0.713457,0.813945,0.729934,0.843161,0.52244,0.781049,0.939264,0.561097,0.660384,0.923756,-0.571443,0.641646,0.923918,-0.298647,0.434752,0.831655,-0.485883,0.587661,0.927211,-0.585532,0.596102,0.930806,-0.699783,0.577155,0.890883,-0.779933,0.485062,0.75928,-0.732285,0.424734,0.836867,-0.582101,0.383843,0.872088,-0.469973,0.397879,0.870449,-0.53026,0.491088,0.857016,0.566196,0.505379,0.862144,0.314325,0.449473,0.834057,0.470915,0.590443,0.926804,0.570996,0.609332,0.930533,0.679785,0.601446,0.891464,0.805102,0.511728,0.756752,0.653295,0.429671,0.866335,0.571769,0.414557,0.874413,0.462794,0.423974,0.872006,0.188281,0.044895,1.078508,0.012192,0.06591,1.187734,-0.160741,0.043621,1.077929,-0.131923,-0.232368,1.093532,0.014516,-0.17768,1.283542,0.166354,-0.247621,1.093701,0.352346,-0.16162,1.019452,0.320607,-0.27982,0.97721,0.020917,-0.345882,1.025792,-0.3113,-0.294051,0.996593,-0.342819,-0.183571,1.048017,-0.412631,-0.708499,0.836774,-0.236074,-0.620818,1.037255,-0.05532,-0.554337,1.117469,0.026903,-0.576983,1.121175,0.106933,-0.54686,1.115845,0.286915,-0.611844,1.031663,0.460802,-0.682593,0.837712,0.297278,-0.685351,0.940821,0.028259,-0.669467,1.0349,-0.246327,-0.704179,0.94058,-0.243919,-0.718153,0.936895,0.02886,-0.727832,1.024428,0.29511,-0.706869,0.936963,0.400783,-0.737749,0.877374,0.214318,-0.826322,0.990578,0.029711,-0.846398,1.044921,-0.161775,-0.827574,0.989535,-0.35542,-0.768619,0.876952
3,-1.225515,0.86051,0.823543,-1.253824,0.219359,0.753481,-1.169799,-0.211953,0.618449,-0.973756,-0.764527,0.475988,-0.82742,-0.960223,0.469788,-0.35727,-1.34651,1.179374,-0.01636,-1.426837,1.358869,0.369066,-1.335845,1.155188,0.836873,-0.954777,0.476564,0.979762,-0.760122,0.476004,1.171732,-0.217225,0.618562,1.228391,0.230757,0.753481,1.185974,0.85621,0.823713,0.691688,1.806018,1.243345,-0.019783,1.898231,1.369851,-0.731057,1.80602,1.243379,-0.524935,1.195689,1.537643,-0.89768,1.143367,1.384677,-1.058466,1.039596,1.249912,-0.879114,1.030381,1.375631,-0.423909,1.027806,1.501969,-0.24456,0.963131,1.535164,0.192522,0.966774,1.53538,0.484984,1.18469,1.537626,0.855996,1.124877,1.384682,1.016218,1.018057,1.249883,0.819433,1.004994,1.37573,0.513451,1.050917,1.478655,0.533659,0.982274,1.492886,-0.612778,0.945947,1.492989,-0.362521,0.704529,1.408559,-0.534304,0.868069,1.500454,-0.62784,0.894313,1.503164,-0.753083,0.88419,1.460667,-0.901129,0.762488,1.325655,-0.806955,0.712807,1.41156,-0.637066,0.689638,1.450641,-0.535117,0.70645,1.447945,-0.597819,0.774345,1.403569,0.574955,0.786151,1.400021,0.276582,0.733845,1.408822,0.425986,0.919457,1.501046,0.542416,0.944956,1.503537,0.675708,0.934797,1.461623,0.837667,0.783454,1.32374,0.644374,0.707194,1.44456,0.551657,0.702682,1.45296,0.414918,0.715349,1.449084,0.182982,0.157711,1.770986,-0.020827,0.227134,1.937335,-0.237762,0.174432,1.777324,-0.241704,-0.078749,1.776037,-0.017345,-0.048664,1.998245,0.18077,-0.080155,1.784318,0.360894,-0.083181,1.658981,0.333653,-0.154184,1.607287,-0.027909,-0.221992,1.738586,-0.384777,-0.150988,1.616066,-0.416196,-0.101941,1.661121,-0.458729,-0.567777,1.477786,-0.301742,-0.525865,1.689153,-0.103315,-0.483099,1.799485,-0.004064,-0.503578,1.798067,0.094144,-0.483165,1.800341,0.274455,-0.516198,1.688776,0.458831,-0.556572,1.477458,0.276985,-0.574987,1.587145,-0.003211,-0.6208,1.689731,-0.307685,-0.591934,1.587608,-0.307522,-0.593122,1.585144,-0.003083,-0.622844,1.687451,0.27755,-0.579689,1.584681,0.389385,-0.617735,1.523585,0.207544,-0.734735,1.67347,-0.000687,-0.758003,1.748539,-0.220695,-0.735745,1.673695,-0.401515,-0.635297,1.523874
4,-1.270521,2.717826,0.855694,-1.24594,2.072457,0.889373,-1.138973,1.626885,0.773342,-0.902176,1.075899,0.59498,-0.73194,0.844545,0.515518,-0.334926,0.48253,0.96754,0.001579,0.413238,1.146981,0.34969,0.476564,0.968039,0.794163,0.851651,0.509689,0.958376,1.080228,0.582436,1.146196,1.629806,0.782307,1.278818,2.073888,0.888791,1.290021,2.714096,0.850141,0.7656,3.705422,1.452556,0.00014,3.857476,1.587699,-0.764346,3.708051,1.433196,-0.486761,3.040488,1.69365,-0.898538,2.992563,1.430551,-1.073417,2.888593,1.288822,-0.873994,2.831304,1.382993,-0.418862,2.837313,1.553951,-0.223723,2.813869,1.673423,0.219363,2.813869,1.671322,0.484967,3.041549,1.692244,0.896109,2.992564,1.430936,1.070446,2.888593,1.291723,0.865785,2.831302,1.383093,0.551033,2.885912,1.532215,0.601238,2.724087,1.502779,-0.601911,2.721415,1.504321,-0.32713,2.462824,1.409095,-0.504578,2.644526,1.517932,-0.611174,2.675586,1.518239,-0.763284,2.682252,1.469346,-0.897755,2.556213,1.327723,-0.808962,2.483739,1.410272,-0.641759,2.436101,1.442913,-0.484633,2.449066,1.437916,-0.618,2.555,1.433,-0.646,2.547,1.43,0.349752,2.476705,1.416698,0.501126,2.622754,1.517312,0.613511,2.669239,1.518723,0.7379,2.675383,1.470316,0.929722,2.556712,1.324042,0.720128,2.441164,1.436869,0.612904,2.436041,1.445002,0.475564,2.44759,1.452401,0.207981,2.035175,1.84177,0.000172,2.118732,2.036094,-0.203276,2.035039,1.841769,-0.200423,1.726998,1.903181,0.002597,1.905076,2.128602,0.213421,1.727143,1.906577,0.377993,1.76187,1.727894,0.340594,1.672309,1.701913,0.006688,1.625079,1.845051,-0.335151,1.653738,1.694032,-0.381156,1.752641,1.726807,-0.459645,1.220993,1.6264,-0.272006,1.271893,1.770085,-0.088391,1.36152,1.924832,0.016102,1.328405,1.947845,0.119275,1.364129,1.92332,0.299577,1.277326,1.789557,0.480575,1.23993,1.627778,0.31097,1.228133,1.704764,0.016234,1.205068,1.841006,-0.278827,1.219789,1.693303,-0.276561,1.202163,1.688081,0.016336,1.162224,1.845075,0.309016,1.210226,1.688321,0.420435,1.1787,1.66431,0.227737,1.043,1.7811,0.018211,1.00384,1.867193,-0.193125,1.03573,1.777505,-0.394011,1.153234,1.659768
